"No.","Time","Source","Destination","Protocol","Length","Info"
"4800","10.524520","104.198.218.190","10.1.10.11","TLSv1.2","444","Application Data, Application Data"
"4837","10.549525","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4862","10.595630","104.198.218.190","10.1.10.11","TLSv1.2","444","Application Data, Application Data"
"4892","10.629114","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4911","10.670930","104.198.218.190","10.1.10.11","TLSv1.2","837","Application Data, Application Data, Application Data, Application Data"
"4951","10.719761","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4994","10.795928","104.198.218.190","10.1.10.11","TLSv1.2","378","Application Data"
"5003","10.798159","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5024","10.843537","104.198.218.190","10.1.10.11","TLSv1.2","524","Application Data, Application Data, Application Data"
"5052","10.888733","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5080","10.967438","104.198.218.190","10.1.10.11","TLSv1.2","378","Application Data"
"5084","10.967614","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5114","11.052391","104.198.218.190","10.1.10.11","TLSv1.2","526","Application Data, Application Data, Application Data"
"5120","11.057613","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5159","11.137217","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5184","11.218221","104.198.218.190","10.1.10.11","TLSv1.2","386","Application Data"
"5196","11.231646","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5211","11.276837","104.198.218.190","10.1.10.11","TLSv1.2","525","Application Data, Application Data, Application Data"
"5237","11.317307","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5286","11.402358","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5331","11.487652","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5372","11.568211","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5408","11.658885","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5434","11.737682","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5471","11.826100","104.198.218.190","10.1.10.11","TLSv1.2","398","Application Data"
"5478","11.827474","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5514","11.907894","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5553","11.999921","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5594","12.077220","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5630","12.167398","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5667","12.248706","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5702","12.337434","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5738","12.417904","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5780","12.507240","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5838","12.599618","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5839","12.601212","104.198.218.190","10.1.10.11","TLSv1.2","398","Application Data"
"5871","12.666419","104.198.218.190","10.1.10.11","TLSv1.2","139","Application Data"
